Entity_1	Entity_2	Predicted_class
Severe	viral infection	no_relation
thrombocytopenia	viral infection	no_relation
acute	viral infection	no_relation
hepatitis	tropism	effect
healthy	tropism	effect
hepatitis	tropism	no_relation
diarrhea	transport	effect
diarrhea	transport	no_relation
diarrhea	metabolism	effect
diarrhea	metabolism	no_relation
diarrhea	biosynthesis	effect
diarrhea	metabolism	effect
viral envelope	migratory	effect
Central	neuraminidase activity	no_relation
bronchitis	nucleus	no_relation
heterogeneity	immune response	no_relation
vomiting	antiviral response	effect
diarrhea	antiviral response	effect
antiviral response	stomatitis	no_relation
antiviral response	binding	no_relation
antiviral response	binding	no_relation
vomiting	nucleocapsid	no_relation
diarrhea	nucleocapsid	no_relation
nucleocapsid	stomatitis	no_relation
nucleocapsid	binding	no_relation
nucleocapsid	binding	no_relation
vomiting	signaling	no_relation
diarrhea	signaling	no_relation
stomatitis	signaling	no_relation
signaling	binding	no_relation
signaling	binding	no_relation
vomiting	antiviral response	no_relation
diarrhea	antiviral response	no_relation
stomatitis	antiviral response	no_relation
binding	antiviral response	no_relation
binding	antiviral response	no_relation
vomiting	innate immune response	effect
diarrhea	innate immune response	effect
stomatitis	innate immune response	no_relation
binding	innate immune response	no_relation
binding	innate immune response	no_relation
arthritis	pathogenesis	effect
central	pathogenesis	no_relation
pathogenesis	hepatitis	no_relation
pathogenesis	immunodeficiency	no_relation
pathogenesis	capsule	no_relation
pathogenesis	peripheral	no_relation
central	pathogenesis	no_relation
hepatitis	pathogenesis	no_relation
immunodeficiency	pathogenesis	no_relation
capsule	pathogenesis	no_relation
peripheral	pathogenesis	no_relation
central	HSC	no_relation
hepatitis	HSC	no_relation
immunodeficiency	HSC	no_relation
capsule	HSC	no_relation
peripheral	HSC	no_relation
central	HSC	no_relation
hepatitis	HSC	no_relation
immunodeficiency	HSC	effect
capsule	HSC	effect
peripheral	HSC	no_relation
bronchitis	reverse transcription	effect
bronchitis	reverse transcription	effect
bronchitis	pathogenesis	no_relation
bronchitis	pathogenesis	no_relation
immunodeficiency	antibody	effect
immunodeficiency	SNAP	no_relation
neuroinflammatory response	severe	no_relation
pathogenesis	severe	no_relation
adaptive immune response	severe	no_relation
severe	leukocyte adhesion	no_relation
healthy	tropism	no_relation
healthy	tropism	no_relation
endosome	early endosome	no_relation
endosome	cytoplasm	no_relation
endosome	fever	no_relation
endosome	host cell cytoplasm	no_relation
VLP	cytoplasm	effect
VLP	early endosome	effect
VLP	cytoplasm	effect
VLP	fever	effect
VLP	host cell cytoplasm	no_relation
VLP	cytoplasm	effect
VLP	early endosome	effect
VLP	cytoplasm	effect
VLP	fever	effect
VLP	host cell cytoplasm	no_relation
intracellular	early endosome	no_relation
intracellular	cytoplasm	no_relation
intracellular	host cell cytoplasm	no_relation
early endosome	endosome	no_relation
endosome	cytoplasm	effect
endosome	host cell cytoplasm	no_relation
early endosome	cholesterol export	no_relation
cholesterol export	cytoplasm	effect
cholesterol export	fever	effect
cholesterol export	host cell cytoplasm	no_relation
early endosome	host cell	no_relation
cytoplasm	host cell	no_relation
fever	host cell	no_relation
host cell	host cell cytoplasm	no_relation
Valley fever	envelope	no_relation
severe	envelope	no_relation
thrombocytopenia	envelope	no_relation
envelope	binding	no_relation
envelope	vesicle	no_relation
Valley fever	cell surface	effect
severe	cell surface	no_relation
thrombocytopenia	cell surface	no_relation
binding	cell surface	no_relation
cell surface	vesicle	no_relation
Valley fever	virion	effect
severe	virion	no_relation
thrombocytopenia	virion	no_relation
binding	virion	no_relation
vesicle	virion	no_relation
Valley fever	intracellular	no_relation
severe	intracellular	no_relation
thrombocytopenia	intracellular	no_relation
binding	intracellular	no_relation
vesicle	intracellular	no_relation
Valley fever	virion	no_relation
severe	virion	no_relation
thrombocytopenia	virion	no_relation
binding	virion	no_relation
vesicle	virion	no_relation
Valley fever	membrane	no_relation
severe	membrane	no_relation
thrombocytopenia	membrane	no_relation
binding	membrane	no_relation
vesicle	membrane	no_relation
severe	membrane	no_relation
Antibody	exanthem	no_relation
Antibody	diffuse	no_relation
Antibody	hyperpigmented macules	no_relation
Antibody	papules	no_relation
affected	sera	no_relation
affected	antibody	no_relation
immune response	transient	no_relation
diarrhea	TRS	effect
diarrhea	TRS	effect
diarrhea	TRS	effect
diarrhea	TRS	effect
Synthesis	proximal	effect
TRS	proximal	no_relation
proximal	TRS	no_relation
proximal	TRS	no_relation
proximal	TRS	no_relation
proximal	synthesis	effect
proximal	synthesis	no_relation
proximal	TRS	no_relation
proximal	TRS	no_relation
proximal	synthesis	no_relation
proximal	synthesis	effect
diarrhea	viral shedding	no_relation
diarrhea	pathogenesis	no_relation
pathogenesis	diarrhea	no_relation
protease complex	binding	no_relation
protease complex	central	no_relation
binding	membrane	effect
membrane	central	no_relation
fever	ribosomal frameshifting	no_relation
ribosomal frameshifting	central	no_relation
pathogenesis	severity	no_relation
pathogenesis	severity	no_relation
pain	signaling	no_relation
stomatitis	signaling	no_relation
acute	signaling	no_relation
hepatitis	Reverse transcription	effect
hepatitis	tropism	effect
growth	position	no_relation
growth	stable	no_relation
position	tropism	no_relation
tropism	stable	no_relation
position	hpi	no_relation
hpi	stable	effect
position	hpi	effect
hpi	stable	no_relation
position	growth	no_relation
stable	growth	no_relation
position	tropism	no_relation
stable	tropism	no_relation
diarrhea	immunoglobulin	no_relation
diarrhea	Antibody	no_relation
diarrhea	antibody	no_relation
diarrhea	estrus	effect
Diarrhea	Antibody	no_relation
diarrhea	gestation	no_relation
acute	gestation	no_relation
severe	gestation	no_relation
