Entity_1	Entity_2	Predicted_class
HP_0031915	GO_0010467	effect
HP_0031915	GO_0001171	effect
HP_0031915	GO_0031386	effect
HP_0031915	GO_0010467	no_relation
HP_0031915	GO_0001171	no_relation
HP_0031915	GO_0031386	no_relation
HP_0031915	GO_0001906	no_relation
HP_0031915	GO_0010467	no_relation
HP_0031915	GO_0001171	no_relation
HP_0031915	GO_0031386	no_relation
HP_0031915	GO_0001906	no_relation
HP_0030645	GO_0043209	effect
HP_0030645	GO_0043209	effect
HP_0030645	GO_0009056	no_relation
HP_0002960	GO_0043209	effect
HP_0002960	GO_0043209	no_relation
HP_0002960	GO_0009056	no_relation
HP_0030646	GO_0043209	effect
HP_0030646	GO_0009056	effect
GO_0003723	GO_1990904	no_relation
GO_0003723	GO_0019079	no_relation
GO_0005488	GO_1990904	no_relation
GO_0005488	GO_0019079	no_relation
HP_0032320	GO_1990904	no_relation
HP_0032320	GO_0019079	no_relation
HP_0030645	GO_0006914	no_relation
HP_0030645	GO_0009987	no_relation
HP_0030645	GO_0009056	no_relation
HP_0030645	GO_0006914	no_relation
HP_0030645	GO_0006914	no_relation
HP_0030645	GO_0044255	no_relation
HP_0030645	GO_0006914	no_relation
HP_0001945	GO_0019013	no_relation
HP_0001945	GO_0072583	no_relation
HP_0001945	GO_0005856	no_relation
HP_0001945	GO_0031975	effect
HP_0001945	GO_0090665	no_relation
HP_0001945	GO_0007165	no_relation
HP_0001945	GO_0005874	no_relation
HP_0001945	GO_0005622	no_relation
GO_0005737	GO_0019013	no_relation
GO_0005737	GO_0072583	no_relation
GO_0005737	GO_0005856	no_relation
GO_0005737	GO_0031975	effect
GO_0005737	GO_0090665	no_relation
GO_0005737	GO_0007165	no_relation
GO_0005737	GO_0005874	no_relation
GO_0005737	GO_0005622	no_relation
HP_0012824	GO_0023052	no_relation
HP_0012824	GO_0006914	no_relation
HP_0012824	GO_0006914	no_relation
HP_0012824	GO_0016032	no_relation
HP_0012824	GO_0006914	no_relation
HP_0012824	GO_0005776	no_relation
HP_0012824	GO_0006914	no_relation
HP_0012824	GO_0006914	no_relation
HP_0012824	GO_0006914	no_relation
HP_0012824	GO_0006914	no_relation
HP_0040282	GO_0043656	no_relation
HP_0040282	GO_0039703	no_relation
HP_0011009	GO_0001530	no_relation
HP_0011009	GO_0001530	effect
HP_0011009	GO_0001530	no_relation
HP_0032322	GO_0001530	no_relation
HP_0032322	GO_0001530	no_relation
HP_0032322	GO_0001530	no_relation
HP_0032322	GO_0001530	no_relation
HP_0031797	GO_0001530	no_relation
HP_0011947	GO_0001530	no_relation
HP_0012828	GO_0007612	effect
HP_0012828	GO_0007612	effect
HP_0012828	GO_0007612	effect
HP_0012828	GO_0007612	no_relation
HP_0012828	GO_0007612	effect
HP_0012828	GO_0007612	effect
HP_0012828	GO_0007612	no_relation
HP_0012828	GO_0007612	no_relation
HP_0002014	GO_0023052	no_relation
HP_0002014	GO_0023052	no_relation
HP_0001909	GO_0004096	no_relation
HP_0002721	GO_0004096	no_relation
HP_0032319	GO_0004096	no_relation
HP_0031915	GO_0010467	no_relation
HP_0031915	GO_0009978	no_relation
HP_0031915	GO_0009978	no_relation
HP_0031915	GO_0005840	no_relation
HP_0031915	GO_0005856	no_relation
HP_0031915	GO_0010467	no_relation
HP_0031915	GO_0009978	no_relation
HP_0031915	GO_0009978	no_relation
HP_0031915	GO_0005840	no_relation
HP_0031915	GO_0005856	no_relation
HP_0031915	GO_0010467	effect
