Entity_1	Entity_2	Predicted_class
HP_0012828	GO_0016032	no_relation
HP_0001873	GO_0016032	no_relation
HP_0011009	GO_0016032	no_relation
HP_0012115	GO_0009606	effect
HP_0032322	GO_0009606	effect
HP_0012115	GO_0009606	no_relation
HP_0002014	GO_0006810	effect
HP_0002014	GO_0006810	no_relation
HP_0002014	GO_0008152	effect
HP_0002014	GO_0008152	no_relation
HP_0002014	GO_0009058	effect
HP_0002014	GO_0008152	effect
GO_0019031	HP_0025279	effect
HP_0030645	GO_0004308	no_relation
HP_0012387	GO_0005634	no_relation
HP_0001425	GO_0006955	no_relation
HP_0002013	GO_0051607	effect
HP_0002014	GO_0051607	effect
GO_0051607	HP_0010280	no_relation
GO_0051607	GO_0005488	no_relation
GO_0051607	GO_0005488	no_relation
HP_0002013	GO_0019013	no_relation
HP_0002014	GO_0019013	no_relation
GO_0019013	HP_0010280	no_relation
GO_0019013	GO_0005488	no_relation
GO_0019013	GO_0005488	no_relation
HP_0002013	GO_0023052	no_relation
HP_0002014	GO_0023052	no_relation
HP_0010280	GO_0023052	no_relation
GO_0023052	GO_0005488	no_relation
GO_0023052	GO_0005488	no_relation
HP_0002013	GO_0051607	no_relation
HP_0002014	GO_0051607	no_relation
HP_0010280	GO_0051607	no_relation
GO_0005488	GO_0051607	no_relation
GO_0005488	GO_0051607	no_relation
HP_0002013	GO_0045087	effect
HP_0002014	GO_0045087	effect
HP_0010280	GO_0045087	no_relation
GO_0005488	GO_0045087	no_relation
GO_0005488	GO_0045087	no_relation
HP_0001369	GO_0009405	effect
HP_0030645	GO_0009405	no_relation
GO_0009405	HP_0012115	no_relation
GO_0009405	HP_0002721	no_relation
GO_0009405	GO_0042603	no_relation
GO_0009405	HP_0030646	no_relation
HP_0030645	GO_0009405	no_relation
HP_0012115	GO_0009405	no_relation
HP_0002721	GO_0009405	no_relation
GO_0042603	GO_0009405	no_relation
HP_0030646	GO_0009405	no_relation
HP_0030645	GO_0035301	no_relation
HP_0012115	GO_0035301	no_relation
HP_0002721	GO_0035301	no_relation
GO_0042603	GO_0035301	no_relation
HP_0030646	GO_0035301	no_relation
HP_0030645	GO_0035301	no_relation
HP_0012115	GO_0035301	no_relation
HP_0002721	GO_0035301	effect
GO_0042603	GO_0035301	effect
HP_0030646	GO_0035301	no_relation
HP_0012387	GO_0001171	effect
HP_0012387	GO_0001171	effect
HP_0012387	GO_0009405	no_relation
HP_0012387	GO_0009405	no_relation
HP_0002721	GO_0042571	effect
HP_0002721	GO_0005483	no_relation
GO_0150076	HP_0012828	no_relation
GO_0009405	HP_0012828	no_relation
GO_0002250	HP_0012828	no_relation
HP_0012828	GO_0007159	no_relation
HP_0032322	GO_0009606	no_relation
HP_0032322	GO_0009606	no_relation
GO_0005768	GO_0005769	no_relation
GO_0005768	GO_0005737	no_relation
GO_0005768	HP_0001945	no_relation
GO_0005768	GO_0030430	no_relation
GO_0000943	GO_0005737	effect
GO_0000943	GO_0005769	effect
GO_0000943	GO_0005737	effect
GO_0000943	HP_0001945	effect
GO_0000943	GO_0030430	no_relation
GO_0000943	GO_0005737	effect
GO_0000943	GO_0005769	effect
GO_0000943	GO_0005737	effect
GO_0000943	HP_0001945	effect
GO_0000943	GO_0030430	no_relation
GO_0005622	GO_0005769	no_relation
GO_0005622	GO_0005737	no_relation
GO_0005622	GO_0030430	no_relation
GO_0005769	GO_0005768	no_relation
GO_0005768	GO_0005737	effect
GO_0005768	GO_0030430	no_relation
GO_0005769	GO_0033344	no_relation
GO_0033344	GO_0005737	effect
GO_0033344	HP_0001945	effect
GO_0033344	GO_0030430	no_relation
GO_0005769	GO_0043657	no_relation
GO_0005737	GO_0043657	no_relation
HP_0001945	GO_0043657	no_relation
GO_0043657	GO_0030430	no_relation
HP_0032249	GO_0031975	no_relation
HP_0012828	GO_0031975	no_relation
HP_0001873	GO_0031975	no_relation
GO_0031975	GO_0005488	no_relation
GO_0031975	GO_0031982	no_relation
HP_0032249	GO_0009986	effect
HP_0012828	GO_0009986	no_relation
HP_0001873	GO_0009986	no_relation
GO_0005488	GO_0009986	no_relation
GO_0009986	GO_0031982	no_relation
HP_0032249	GO_0019012	effect
HP_0012828	GO_0019012	no_relation
HP_0001873	GO_0019012	no_relation
GO_0005488	GO_0019012	no_relation
GO_0031982	GO_0019012	no_relation
HP_0032249	GO_0005622	no_relation
HP_0012828	GO_0005622	no_relation
HP_0001873	GO_0005622	no_relation
GO_0005488	GO_0005622	no_relation
GO_0031982	GO_0005622	no_relation
HP_0032249	GO_0019012	no_relation
HP_0012828	GO_0019012	no_relation
HP_0001873	GO_0019012	no_relation
GO_0005488	GO_0019012	no_relation
GO_0031982	GO_0019012	no_relation
HP_0032249	GO_0016020	no_relation
HP_0012828	GO_0016020	no_relation
HP_0001873	GO_0016020	no_relation
GO_0005488	GO_0016020	no_relation
GO_0031982	GO_0016020	no_relation
HP_0012828	GO_0016020	no_relation
GO_0042571	HP_0000988	no_relation
GO_0042571	HP_0020034	no_relation
GO_0042571	HP_0001034	no_relation
GO_0042571	HP_0200034	no_relation
HP_0032320	GO_0004617	no_relation
HP_0032320	GO_0042571	no_relation
GO_0006955	HP_0025153	no_relation
HP_0002014	GO_0004829	effect
HP_0002014	GO_0004829	effect
HP_0002014	GO_0004829	effect
HP_0002014	GO_0004829	effect
GO_0009058	HP_0012840	effect
GO_0004829	HP_0012840	no_relation
HP_0012840	GO_0004829	no_relation
HP_0012840	GO_0004829	no_relation
HP_0012840	GO_0004829	no_relation
HP_0012840	GO_0009058	effect
HP_0012840	GO_0009058	no_relation
HP_0012840	GO_0004829	no_relation
HP_0012840	GO_0004829	no_relation
HP_0012840	GO_0009058	no_relation
HP_0012840	GO_0009058	effect
HP_0002014	GO_0019076	no_relation
HP_0002014	GO_0009405	no_relation
GO_0009405	HP_0002014	no_relation
GO_1905368	GO_0005488	no_relation
GO_1905368	HP_0030645	no_relation
GO_0005488	GO_0016020	effect
GO_0016020	HP_0030645	no_relation
HP_0001945	GO_0075523	no_relation
GO_0075523	HP_0030645	no_relation
GO_0009405	HP_0012824	no_relation
GO_0009405	HP_0012824	no_relation
HP_0012531	GO_0023052	no_relation
HP_0010280	GO_0023052	no_relation
HP_0011009	GO_0023052	no_relation
HP_0012115	GO_0001171	effect
HP_0012115	GO_0009606	effect
GO_0040007	HP_0012830	no_relation
GO_0040007	HP_0031915	no_relation
HP_0012830	GO_0009606	no_relation
GO_0009606	HP_0031915	no_relation
