Entity_1	Entity_2	Predicted_class
CHEBI_25367	DOID_0050785	effect
DOID_0050785	CHEBI_16541	no_relation
DOID_0050785	CHEBI_50906	no_relation
DOID_0050785	CHEBI_16541	no_relation
CHEBI_25367	DOID_8469	effect
CHEBI_16541	DOID_8469	effect
CHEBI_50906	DOID_8469	no_relation
CHEBI_16541	DOID_8469	no_relation
CHEBI_63580	DOID_1588	no_relation
DOID_1588	CHEBI_63580	no_relation
DOID_0050117	CHEBI_63580	effect
DOID_4	CHEBI_63580	no_relation
CHEBI_63580	DOID_934	no_relation
CHEBI_63580	DOID_934	effect
DOID_2237	CHEBI_82344	effect
DOID_2237	CHEBI_82344	effect
DOID_2237	CHEBI_50906	no_relation
DOID_2237	CHEBI_82344	no_relation
DOID_4	CHEBI_50906	no_relation
DOID_2326	CHEBI_82344	effect
DOID_2326	CHEBI_82344	effect
DOID_2326	CHEBI_50906	no_relation
DOID_2326	CHEBI_82344	no_relation
CHEBI_82344	DOID_2326	no_relation
CHEBI_82344	DOID_2326	no_relation
CHEBI_50906	DOID_2326	no_relation
DOID_2326	CHEBI_82344	effect
CHEBI_50906	DOID_2237	no_relation
CHEBI_82344	DOID_2326	no_relation
CHEBI_82344	DOID_2326	no_relation
CHEBI_50906	DOID_2326	no_relation
CHEBI_82344	DOID_2326	no_relation
CHEBI_82344	DOID_2237	no_relation
CHEBI_50906	DOID_2237	no_relation
DOID_13250	CHEBI_33704	effect
DOID_13250	CHEBI_18111	effect
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33704	effect
DOID_8469	CHEBI_26667	no_relation
DOID_8469	CHEBI_28260	no_relation
DOID_8469	CHEBI_17089	no_relation
CHEBI_33697	DOID_8469	no_relation
CHEBI_33704	DOID_8469	no_relation
DOID_8469	CHEBI_26667	no_relation
DOID_8469	CHEBI_28260	no_relation
DOID_8469	CHEBI_17089	no_relation
CHEBI_33697	DOID_8469	no_relation
CHEBI_33704	DOID_8469	no_relation
CHEBI_26667	DOID_8469	no_relation
CHEBI_28260	DOID_8469	no_relation
DOID_8469	CHEBI_17089	no_relation
DOID_9637	CHEBI_17089	effect
DOID_6132	CHEBI_16541	effect
DOID_6132	CHEBI_33252	no_relation
CHEBI_36080	DOID_4	no_relation
CHEBI_33697	DOID_4	no_relation
CHEBI_36080	DOID_4	no_relation
CHEBI_33697	DOID_4	no_relation
CHEBI_16541	DOID_4	no_relation
CHEBI_16541	DOID_4	no_relation
DOID_3083	CHEBI_50906	no_relation
DOID_3083	CHEBI_50906	no_relation
DOID_3083	CHEBI_58972	no_relation
DOID_4	CHEBI_50906	no_relation
DOID_4	CHEBI_50906	effect
DOID_4	CHEBI_58972	effect
CHEBI_25367	DOID_3571	no_relation
DOID_13250	CHEBI_52999	effect
DOID_13250	CHEBI_22587	effect
DOID_13250	CHEBI_50906	effect
DOID_13250	CHEBI_16541	effect
DOID_13250	CHEBI_16541	effect
DOID_13250	CHEBI_16541	effect
DOID_13250	CHEBI_16541	effect
DOID_13250	CHEBI_16541	effect
DOID_13250	CHEBI_16541	effect
DOID_13250	CHEBI_22587	effect
CHEBI_52999	DOID_9637	no_relation
CHEBI_22587	DOID_9637	no_relation
CHEBI_50906	DOID_9637	no_relation
CHEBI_16541	DOID_9637	no_relation
DOID_9637	CHEBI_16541	effect
DOID_9637	CHEBI_16541	effect
DOID_9637	CHEBI_16541	effect
DOID_9637	CHEBI_16541	effect
DOID_9637	CHEBI_16541	effect
DOID_9637	CHEBI_22587	effect
CHEBI_50906	DOID_8622	no_relation
DOID_8622	DOID_627	no_relation
DOID_8622	CHEBI_16541	no_relation
DOID_8622	DOID_627	no_relation
DOID_8622	DOID_627	no_relation
DOID_8622	CHEBI_50443	no_relation
DOID_8622	CHEBI_50443	no_relation
CHEBI_50906	DOID_1883	no_relation
DOID_1883	DOID_627	no_relation
DOID_1883	DOID_627	no_relation
DOID_1883	DOID_627	no_relation
DOID_1883	CHEBI_50443	no_relation
DOID_1883	CHEBI_50443	no_relation
CHEBI_50906	DOID_8622	effect
DOID_627	DOID_8622	effect
CHEBI_16541	DOID_8622	effect
DOID_627	DOID_8622	effect
DOID_8622	DOID_627	effect
DOID_8622	CHEBI_50443	effect
DOID_8622	CHEBI_50443	effect
CHEBI_50906	DOID_934	effect
DOID_627	DOID_934	effect
CHEBI_16541	DOID_934	no_relation
DOID_627	DOID_934	effect
DOID_627	DOID_934	effect
DOID_934	CHEBI_50443	no_relation
DOID_934	CHEBI_50443	no_relation
DOID_4	CHEBI_59132	effect
DOID_4	CHEBI_33699	effect
DOID_4	CHEBI_78059	effect
DOID_4	CHEBI_33699	effect
DOID_552	CHEBI_5054	effect
DOID_552	CHEBI_4026	effect
CHEBI_5054	DOID_65	no_relation
DOID_65	CHEBI_4026	effect
CHEBI_5054	DOID_4	no_relation
DOID_4	CHEBI_4026	effect
CHEBI_5054	DOID_552	no_relation
DOID_552	CHEBI_4026	effect
DOID_2945	CHEBI_33697	effect
DOID_2945	CHEBI_16541	effect
CHEBI_33699	DOID_2945	effect
CHEBI_33697	DOID_2945	no_relation
CHEBI_16541	DOID_2945	no_relation
DOID_2945	CHEBI_15414	effect
DOID_2945	CHEBI_33697	effect
DOID_2945	CHEBI_33942	no_relation
DOID_2945	CHEBI_16541	no_relation
DOID_2945	CHEBI_15414	no_relation
DOID_2945	CHEBI_15414	no_relation
DOID_2945	CHEBI_23888	no_relation
DOID_2945	CHEBI_33697	effect
DOID_2945	CHEBI_16541	no_relation
CHEBI_33699	DOID_2945	effect
CHEBI_33697	DOID_2945	effect
CHEBI_15414	DOID_2945	effect
CHEBI_33697	DOID_2945	effect
CHEBI_16541	DOID_2945	effect
CHEBI_15414	DOID_2945	effect
CHEBI_15414	DOID_2945	effect
CHEBI_23888	DOID_2945	effect
DOID_2945	CHEBI_33697	effect
DOID_2945	CHEBI_16541	effect
CHEBI_131701	DOID_4	effect
DOID_8566	CHEBI_50906	effect
DOID_8566	CHEBI_50906	effect
DOID_8566	CHEBI_55308	effect
DOID_162	CHEBI_421707	no_relation
DOID_162	CHEBI_37397	no_relation
DOID_162	CHEBI_18154	no_relation
DOID_162	CHEBI_37396	no_relation
DOID_162	CHEBI_421707	no_relation
DOID_162	CHEBI_37397	no_relation
DOID_162	CHEBI_18154	no_relation
