Entity_1	Entity_2	Predicted_class
DOID_2377	CHEBI_50906	effect
DOID_4	CHEBI_50906	effect
DOID_4	CHEBI_50906	effect
DOID_4	CHEBI_50906	no_relation
DOID_8469	CHEBI_36044	effect
DOID_8469	CHEBI_36044	no_relation
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_36976	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_35222	no_relation
DOID_8469	CHEBI_35222	no_relation
DOID_8469	CHEBI_23888	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_36044	no_relation
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_36976	no_relation
DOID_8469	CHEBI_35222	no_relation
DOID_8469	CHEBI_35222	no_relation
DOID_8469	CHEBI_36044	no_relation
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_36976	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_35222	effect
DOID_8469	CHEBI_35222	effect
DOID_8469	CHEBI_23888	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_36044	no_relation
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_36976	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_35222	no_relation
DOID_8469	CHEBI_35222	no_relation
DOID_8469	CHEBI_23888	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_36080	no_relation
DOID_8469	CHEBI_36044	no_relation
DOID_8469	CHEBI_7798	no_relation
DOID_8469	CHEBI_7798	effect
DOID_8469	CHEBI_23888	effect
DOID_0050117	CHEBI_36080	no_relation
DOID_0050117	CHEBI_36044	no_relation
DOID_0050117	CHEBI_7798	no_relation
DOID_0050117	CHEBI_7798	effect
DOID_0050117	CHEBI_23888	effect
DOID_8469	CHEBI_36080	no_relation
DOID_8469	CHEBI_36044	no_relation
DOID_8469	CHEBI_7798	no_relation
DOID_8469	CHEBI_7798	effect
DOID_8469	CHEBI_23888	effect
DOID_8469	CHEBI_36080	effect
DOID_8469	CHEBI_36044	effect
DOID_8469	CHEBI_7798	effect
DOID_8469	CHEBI_7798	effect
DOID_8469	CHEBI_23888	effect
DOID_8469	CHEBI_36080	effect
DOID_8469	CHEBI_36044	effect
DOID_8469	CHEBI_7798	effect
DOID_8469	CHEBI_7798	effect
DOID_8469	CHEBI_23888	effect
DOID_8469	CHEBI_36080	effect
DOID_8469	CHEBI_36044	effect
DOID_8469	CHEBI_7798	effect
DOID_8469	CHEBI_7798	effect
DOID_8469	CHEBI_23888	effect
DOID_8469	CHEBI_16541	effect
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_25367	effect
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_16541	effect
DOID_8469	CHEBI_16541	effect
DOID_8469	CHEBI_23888	effect
DOID_8469	CHEBI_16541	effect
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_25367	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_16541	no_relation
DOID_8469	CHEBI_16541	effect
DOID_8469	CHEBI_23888	effect
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_36976	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_16541	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_52879	effect
DOID_8469	CHEBI_36976	effect
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_16541	no_relation
DOID_8469	CHEBI_33697	no_relation
DOID_8469	CHEBI_52879	effect
DOID_8469	CHEBI_36976	effect
DOID_8469	CHEBI_33697	effect
DOID_8469	CHEBI_50906	no_relation
DOID_8469	CHEBI_22587	no_relation
DOID_8469	CHEBI_22587	no_relation
DOID_552	CHEBI_33281	effect
DOID_552	CHEBI_33281	effect
DOID_8469	CHEBI_33281	no_relation
DOID_8469	CHEBI_33281	effect
DOID_552	CHEBI_33281	effect
DOID_552	CHEBI_33281	no_relation
DOID_552	CHEBI_35640	effect
DOID_552	CHEBI_35640	effect
DOID_8469	CHEBI_35640	no_relation
DOID_8469	CHEBI_35640	effect
DOID_8469	CHEBI_35640	no_relation
DOID_8469	CHEBI_35640	effect
DOID_1909	CHEBI_37684	effect
DOID_12120	CHEBI_37684	effect
DOID_1909	CHEBI_37684	no_relation
DOID_12120	CHEBI_37684	effect
DOID_12120	CHEBI_15440	no_relation
DOID_3241	CHEBI_15440	no_relation
DOID_12117	CHEBI_15440	effect
DOID_1909	CHEBI_37684	effect
DOID_1909	CHEBI_37684	effect
DOID_0050194	CHEBI_2819	effect
DOID_0050194	CHEBI_33697	no_relation
DOID_0050194	CHEBI_36080	effect
DOID_0050194	CHEBI_16541	effect
DOID_0050194	CHEBI_33697	no_relation
DOID_0050194	CHEBI_16541	effect
DOID_0050194	CHEBI_17089	effect
DOID_0050194	CHEBI_25367	no_relation
DOID_0050194	CHEBI_36080	effect
DOID_0050194	CHEBI_16541	effect
DOID_0050194	CHEBI_17089	no_relation
DOID_0050194	CHEBI_34922	effect
DOID_4	CHEBI_36080	effect
DOID_4	CHEBI_50906	effect
DOID_4	CHEBI_58972	effect
DOID_934	CHEBI_36080	effect
DOID_934	CHEBI_50906	no_relation
DOID_934	CHEBI_58972	effect
DOID_8622	CHEBI_50906	no_relation
DOID_10264	CHEBI_50906	no_relation
DOID_4	CHEBI_36080	no_relation
DOID_4	CHEBI_50906	no_relation
DOID_4	CHEBI_8069	no_relation
DOID_4	CHEBI_16412	no_relation
DOID_4	CHEBI_16541	no_relation
DOID_4	CHEBI_16541	no_relation
DOID_4	CHEBI_36080	no_relation
DOID_4	CHEBI_50906	no_relation
DOID_4	CHEBI_50906	effect
DOID_11263	CHEBI_36080	no_relation
DOID_11263	CHEBI_50906	no_relation
DOID_11263	CHEBI_16412	no_relation
DOID_11263	CHEBI_16541	no_relation
DOID_11263	CHEBI_16541	no_relation
DOID_11263	CHEBI_50906	effect
DOID_934	CHEBI_22587	effect
DOID_934	CHEBI_35224	no_relation
DOID_934	CHEBI_50906	effect
DOID_934	CHEBI_22587	no_relation
DOID_2929	CHEBI_3696	no_relation
DOID_2929	CHEBI_3696	no_relation
DOID_2929	CHEBI_3696	no_relation
DOID_2929	CHEBI_3696	no_relation
DOID_2929	CHEBI_33697	no_relation
DOID_2929	CHEBI_33697	no_relation
DOID_2929	CHEBI_3696	effect
DOID_11260	CHEBI_3696	no_relation
DOID_11260	CHEBI_3696	no_relation
DOID_11260	CHEBI_3696	no_relation
DOID_11260	CHEBI_3696	no_relation
DOID_11260	CHEBI_33697	no_relation
DOID_11260	CHEBI_33697	no_relation
DOID_11260	CHEBI_3696	effect
DOID_13250	CHEBI_52999	effect
DOID_13250	CHEBI_52999	effect
DOID_0050117	DOID_0111084	effect
DOID_0050117	CHEBI_50906	effect
DOID_4492	CHEBI_34922	no_relation
DOID_4492	CHEBI_6601	no_relation
DOID_0050651	CHEBI_33697	effect
DOID_0050651	CHEBI_17138	effect
DOID_0050651	CHEBI_16541	effect
DOID_0050651	CHEBI_16541	effect
DOID_0050651	CHEBI_33697	effect
DOID_0050651	CHEBI_18111	effect
DOID_0050651	CHEBI_33697	effect
DOID_0050651	CHEBI_17138	effect
DOID_0050651	CHEBI_16541	effect
DOID_0050651	CHEBI_16541	effect
DOID_0050651	CHEBI_33697	effect
DOID_0050651	CHEBI_18111	effect
DOID_0050651	CHEBI_33697	no_relation
DOID_0050651	CHEBI_17138	effect
DOID_0050651	CHEBI_16541	no_relation
DOID_0050651	CHEBI_16541	no_relation
DOID_0050651	CHEBI_33697	no_relation
DOID_0050651	CHEBI_18111	no_relation
DOID_0050651	CHEBI_33697	no_relation
DOID_0050651	CHEBI_17138	effect
DOID_0050651	CHEBI_16541	no_relation
DOID_0050651	CHEBI_16541	no_relation
DOID_0050651	CHEBI_33697	no_relation
DOID_0050651	CHEBI_18111	no_relation
DOID_0050651	CHEBI_33697	no_relation
DOID_0050651	CHEBI_17138	effect
DOID_0050651	CHEBI_16541	no_relation
DOID_0050651	CHEBI_16541	no_relation
DOID_0050651	CHEBI_33697	no_relation
DOID_0050651	CHEBI_18111	no_relation
DOID_1498	CHEBI_15377	effect
DOID_1498	CHEBI_17489	no_relation
DOID_1498	CHEBI_17489	no_relation
DOID_1498	CHEBI_17489	no_relation
DOID_1498	CHEBI_17489	no_relation
DOID_1498	CHEBI_17489	no_relation
DOID_1498	CHEBI_17489	no_relation
DOID_1498	CHEBI_17489	no_relation
