Entity_1	Entity_2	Predicted_class
Multiple sclerosis	role	effect
disease	role	effect
disease	role	effect
disease	role	no_relation
influenza	antiviral drug	effect
influenza	antiviral drug	no_relation
influenza	role	no_relation
influenza	RNA	effect
influenza	RNA	effect
influenza	RNA	no_relation
influenza	role	no_relation
influenza	nucleotide	no_relation
influenza	RNA	no_relation
influenza	inhibitor	no_relation
influenza	inhibitor	no_relation
influenza	drugs	no_relation
influenza	RNA	no_relation
influenza	antiviral drug	no_relation
influenza	role	no_relation
influenza	RNA	effect
influenza	RNA	effect
influenza	role	no_relation
influenza	nucleotide	no_relation
influenza	inhibitor	no_relation
influenza	inhibitor	no_relation
influenza	antiviral drug	no_relation
influenza	role	no_relation
influenza	RNA	no_relation
influenza	RNA	effect
influenza	RNA	no_relation
influenza	role	no_relation
influenza	nucleotide	no_relation
influenza	RNA	no_relation
influenza	inhibitor	effect
influenza	inhibitor	effect
influenza	drugs	no_relation
influenza	RNA	no_relation
influenza	antiviral drug	no_relation
influenza	role	no_relation
influenza	RNA	no_relation
influenza	RNA	effect
influenza	RNA	no_relation
influenza	role	no_relation
influenza	nucleotide	no_relation
influenza	RNA	no_relation
influenza	inhibitor	no_relation
influenza	inhibitor	no_relation
influenza	drugs	no_relation
influenza	RNA	no_relation
Influenza	proteins	no_relation
Influenza	antiviral drug	no_relation
Influenza	Tamiflu	no_relation
Influenza	Tamiflu	effect
Influenza	drugs	effect
infectious disease	proteins	no_relation
infectious disease	antiviral drug	no_relation
infectious disease	Tamiflu	no_relation
infectious disease	Tamiflu	effect
infectious disease	drugs	effect
influenza	proteins	no_relation
influenza	antiviral drug	no_relation
influenza	Tamiflu	no_relation
influenza	Tamiflu	effect
influenza	drugs	effect
influenza	proteins	effect
influenza	antiviral drug	effect
influenza	Tamiflu	effect
influenza	Tamiflu	effect
influenza	drugs	effect
flu	proteins	effect
flu	antiviral drug	effect
flu	Tamiflu	effect
flu	Tamiflu	effect
flu	drugs	effect
influenza	proteins	effect
influenza	antiviral drug	effect
influenza	Tamiflu	effect
influenza	Tamiflu	effect
influenza	drugs	effect
Influenza	protein	effect
Influenza	RNA	effect
Influenza	RNA	effect
Influenza	molecule	effect
Influenza	RNA	effect
Influenza	RNA	effect
Influenza	RNA	effect
Influenza	protein	effect
Influenza	protein	effect
Influenza	drug	effect
influenza	protein	effect
influenza	RNA	no_relation
influenza	RNA	no_relation
influenza	molecule	no_relation
influenza	RNA	no_relation
influenza	RNA	no_relation
influenza	RNA	effect
influenza	protein	no_relation
influenza	protein	effect
influenza	drug	effect
influenza	RNA	no_relation
influenza	nucleotides	no_relation
influenza	RNA	no_relation
influenza	RNA	no_relation
influenza	RNA	no_relation
influenza	RNA	no_relation
influenza	RNA	no_relation
influenza	RNA	effect
influenza	RNA	no_relation
influenza	role	no_relation
influenza	protein	no_relation
influenza	RNA	no_relation
influenza	benzene ring	effect
influenza	nucleotide	effect
influenza	RNA	no_relation
influenza	role	no_relation
influenza	RNA	no_relation
influenza	RNA	effect
influenza	role	no_relation
influenza	protein	no_relation
influenza	RNA	no_relation
influenza	benzene ring	effect
influenza	nucleotide	effect
influenza	RNA	effect
influenza	role	no_relation
influenza	antiviral	no_relation
influenza	antiviral	no_relation
pneumonia	antibiotics	effect
pneumonia	antibiotics	effect
influenza	antibiotics	no_relation
influenza	antibiotics	effect
pneumonia	antibiotics	effect
pneumonia	antibiotics	no_relation
Pneumonia	ARI	effect
Pneumonia	ARI	effect
influenza	ARI	no_relation
influenza	ARI	effect
influenza	ARI	no_relation
influenza	ARI	effect
melanoma	man	effect
pulmonary alveolar proteinosis	man	effect
melanoma	man	no_relation
pulmonary alveolar proteinosis	man	effect
pulmonary alveolar proteinosis	squalene	no_relation
exogenous lipoid pneumonia	squalene	no_relation
pulmonary alveolar microlithiasis	squalene	effect
melanoma	man	effect
melanoma	man	effect
Argentine hemorrhagic fever	Argentine	effect
Argentine hemorrhagic fever	RNA	no_relation
Argentine hemorrhagic fever	proteins	effect
Argentine hemorrhagic fever	protein	effect
Argentine hemorrhagic fever	RNA	no_relation
Argentine hemorrhagic fever	protein	effect
Argentine hemorrhagic fever	glycoprotein	effect
Argentine hemorrhagic fever	molecules	no_relation
Argentine hemorrhagic fever	proteins	effect
Argentine hemorrhagic fever	protein	effect
Argentine hemorrhagic fever	glycoprotein	no_relation
Argentine hemorrhagic fever	pathway	effect
disease	proteins	effect
disease	role	effect
disease	ONE	effect
viral infection	proteins	effect
viral infection	role	no_relation
viral infection	ONE	effect
measles	role	no_relation
mumps	role	no_relation
disease	proteins	no_relation
disease	role	no_relation
disease	luminal	no_relation
disease	lipopolysaccharide	no_relation
disease	protein	no_relation
disease	protein	no_relation
disease	proteins	no_relation
disease	role	no_relation
disease	role	effect
Chlamydia	proteins	no_relation
Chlamydia	role	no_relation
Chlamydia	lipopolysaccharide	no_relation
Chlamydia	protein	no_relation
Chlamydia	protein	no_relation
Chlamydia	role	effect
virus infection	Antiviral	effect
virus infection	effector	no_relation
virus infection	role	effect
virus infection	antiviral	no_relation
Newcastle disease	CDV	no_relation
Newcastle disease	CDV	no_relation
Newcastle disease	CDV	no_relation
Newcastle disease	CDV	no_relation
Newcastle disease	RNA	no_relation
Newcastle disease	RNA	no_relation
Newcastle disease	CDV	effect
rabies	CDV	no_relation
rabies	CDV	no_relation
rabies	CDV	no_relation
rabies	CDV	no_relation
rabies	RNA	no_relation
rabies	RNA	no_relation
rabies	CDV	effect
diarrhea	interferon	effect
diarrhea	interferon	effect
infectious disease	face	effect
infectious disease	role	effect
avian influenza	ACCESS	no_relation
avian influenza	lycorine	no_relation
ECD	RNA	effect
ECD	glyceraldehyde 3-phosphate	effect
ECD	protein	effect
ECD	protein	effect
ECD	RNA	effect
ECD	rRNA	effect
ECD	RNA	effect
ECD	glyceraldehyde 3-phosphate	effect
